a_Cr,a_Si,a_Mo,a_Co,a_C,a_Mn,C0,a_Ni,a_Al,a_V
286.84881591796875,63.85888671875,497.3897399902344,439.9710693359375,135.4105224609375,342.71112060546875,34.193359375,82.56048583984375,-91.3192138671875,324.19769287109375
310.8074951171875,75.371826171875,480.15740966796875,231.85845947265625,174.43878173828125,278.046142578125,6.9853515625,81.4893798828125,-85.4522705078125,1.58978271484375
278.84906005859375,67.55096435546875,485.23724365234375,309.703857421875,175.00799560546875,341.4908447265625,6.57275390625,75.26092529296875,-138.5626220703125,33.4259033203125
297.68109130859375,76.03857421875,459.1123046875,235.969482421875,150.41796875,309.07000732421875,31.2266845703125,85.73773193359375,-111.260009765625,-20.4422607421875
272.61346435546875,73.94244384765625,512.873779296875,269.17364501953125,138.1956787109375,345.53375244140625,16.3980712890625,95.149169921875,-64.46142578125,-14.5723876953125
289.80517578125,67.451416015625,500.0689697265625,318.8494873046875,155.898193359375,316.3648681640625,2.2401123046875,102.47930908203125,-158.6907958984375,325.39056396484375
294.547607421875,64.8756103515625,460.8958740234375,302.60052490234375,156.557373046875,319.0914306640625,15.130859375,92.130615234375,-150.29736328125,572.8724365234375
287.1385498046875,70.0340576171875,485.98675537109375,452.20135498046875,165.3463134765625,319.45721435546875,9.9664306640625,73.92156982421875,-136.7548828125,518.9051513671875
287.7781982421875,50.56207275390625,507.71539306640625,398.2918701171875,130.3021240234375,372.26556396484375,24.950439453125,78.03125,-159.4034423828125,561.042724609375
304.26324462890625,52.65087890625,481.79473876953125,384.83453369140625,147.7374267578125,319.28656005859375,28.5855712890625,66.35357666015625,-76.004150390625,233.605712890625
273.63970947265625,76.51617431640625,518.6497802734375,385.06622314453125,164.4967041015625,304.33203125,12.7777099609375,89.2301025390625,-170.9940185546875,303.50433349609375
302.1053466796875,54.05340576171875,465.72711181640625,425.54974365234375,152.686279296875,333.69976806640625,23.8297119140625,76.6806640625,-178.8409423828125,381.52056884765625
266.1922607421875,61.68377685546875,481.41778564453125,589.5529174804688,143.82586669921875,310.056884765625,55.3856201171875,84.40093994140625,-187.090576171875,380.16973876953125
294.4119873046875,75.029052734375,488.05487060546875,355.23431396484375,177.0914306640625,292.43450927734375,6.2200927734375,72.79779052734375,-167.2379150390625,334.92474365234375
258.065185546875,66.5526123046875,473.5369873046875,365.1373291015625,158.6805419921875,302.1234130859375,49.8804931640625,93.31805419921875,-131.2203369140625,464.50537109375
295.9444580078125,67.150390625,501.2796936035156,303.54736328125,129.7545166015625,311.7119140625,30.678955078125,89.12713623046875,-115.0384521484375,590.3375854492188
271.41015625,58.05413818359375,475.236572265625,368.50592041015625,160.9146728515625,327.6802978515625,37.880859375,74.094970703125,-122.359375,590.1035766601562
263.18231201171875,63.21771240234375,434.5904541015625,371.0491943359375,166.27020263671875,286.90625,55.432861328125,84.78961181640625,-135.229736328125,758.2508544921875
