a_0,b_1,b_0
196.01739501953125,1.2446731328964233,-1167.402099609375
233.47901916503906,1.6533820629119873,-1157.843505859375
379.7507019042969,1.4057860374450684,-1150.2216796875
340.09033203125,1.5216715335845947,-1171.032470703125
347.9632873535156,1.6055316925048828,-1182.344482421875
360.4671325683594,1.5569519996643066,-1163.9517822265625
311.4692077636719,1.8518997430801392,-1183.749267578125
279.6689758300781,1.7986820936203003,-1173.969970703125
324.1647644042969,1.2602989673614502,-1161.644775390625
312.2980041503906,2.0811753273010254,-1176.8538818359375
282.65045166015625,1.260500431060791,-1154.249755859375
279.04693603515625,1.511128544807434,-1162.02880859375
338.7861633300781,1.5603054761886597,-1187.04833984375
343.13421630859375,1.7938079833984375,-1182.4451904296875
279.08685302734375,1.8269572257995605,-1170.617431640625
296.77032470703125,1.7634176015853882,-1170.4241943359375
235.1421356201172,1.579430103302002,-1179.065673828125
312.69000244140625,1.1384645700454712,-1150.80712890625
307.1745910644531,1.866308331489563,-1173.444091796875
341.3835144042969,1.9031929969787598,-1173.31640625
406.36376953125,1.405112862586975,-1165.3896484375
281.2550048828125,1.28596830368042,-1171.8223876953125
328.6871337890625,1.6888099908828735,-1170.212646484375
273.1618347167969,1.8629032373428345,-1172.1484375
379.51361083984375,2.016634702682495,-1174.429443359375
315.324462890625,1.6369061470031738,-1169.808349609375
383.7043151855469,1.4484548568725586,-1173.0504150390625
383.4173583984375,1.5747900009155273,-1173.11865234375
424.1401062011719,2.1885900497436523,-1174.578125
434.71630859375,1.3277862071990967,-1166.5992431640625
428.8922119140625,1.3106327056884766,-1162.115478515625
306.5690612792969,1.5954771041870117,-1167.222900390625
277.4645690917969,1.6752641201019287,-1181.2869873046875
284.82220458984375,1.511139154434204,-1177.9329833984375
276.01483154296875,1.6479064226150513,-1175.184326171875
354.865234375,1.6792449951171875,-1178.48291015625
259.0224609375,1.3504648208618164,-1172.8134765625
293.91107177734375,1.3135945796966553,-1165.9619140625
306.61297607421875,2.1907310485839844,-1174.112548828125
290.3759765625,1.6183172464370728,-1184.549072265625
242.03091430664062,1.9324519634246826,-1174.3355712890625
243.04541015625,1.415137529373169,-1165.973388671875
238.67327880859375,1.0879994630813599,-1157.93359375
250.28768920898438,1.709513545036316,-1180.7449951171875
257.18890380859375,1.8039016723632812,-1200.481201171875
218.69268798828125,1.6918259859085083,-1174.635498046875
237.17893981933594,1.915008783340454,-1170.750244140625
371.8297119140625,1.5848551988601685,-1167.79345703125
389.38104248046875,2.006920337677002,-1178.3448486328125
411.4784240722656,1.4285223484039307,-1155.1492919921875
402.01434326171875,1.774322748184204,-1184.3887939453125
445.0751953125,1.2665839195251465,-1161.501953125
359.7894592285156,1.3100526332855225,-1160.48681640625
413.633056640625,1.154662847518921,-1163.996826171875
382.966064453125,1.6684865951538086,-1165.587158203125
309.2220764160156,1.7198442220687866,-1185.863037109375
214.96475219726562,1.6296683549880981,-1166.083740234375
269.5273132324219,1.469738245010376,-1163.0118408203125
315.67205810546875,1.3883700370788574,-1159.394287109375
316.3982238769531,1.7448629140853882,-1178.5458984375
335.2958984375,1.5460846424102783,-1175.098388671875
369.534912109375,1.7190171480178833,-1187.3232421875
378.9096374511719,1.8039476871490479,-1169.115966796875
315.5176696777344,1.7361221313476562,-1183.58349609375
310.62896728515625,1.8993971347808838,-1168.563720703125
337.20745849609375,1.3384617567062378,-1171.5045166015625
352.6011962890625,1.0305532217025757,-1161.90234375
409.16937255859375,1.0379579067230225,-1165.45947265625
