b_0,ET,b_1,a_0
276.8925476074219,0.8342927694320679,-1102.749755859375,7013.171875
243.56573486328125,0.8986663222312927,-1104.856689453125,1281.3541259765625
280.7096252441406,0.8963935375213623,-1085.601806640625,8879.451171875
246.6063995361328,0.9619826078414917,-1118.333740234375,3985.787109375
285.44921875,0.20130909979343414,-1087.9404296875,7069.66064453125
254.3175048828125,1.0021986961364746,-1111.473876953125,6433.82080078125
349.5619201660156,0.9898068904876709,-1089.25,5860.615234375
464.26751708984375,0.7877838015556335,-1099.62109375,13279.6044921875
417.86822509765625,0.42946571111679077,-1084.197265625,10666.564453125
560.583251953125,1.4227533340454102,-1131.885986328125,18060.380859375
673.4780883789062,0.31631535291671753,-1119.0855712890625,20581.474609375
590.0154418945312,1.304365634918213,-1110.726318359375,18908.814453125
513.7555541992188,0.6503133773803711,-1103.7664794921875,14492.673828125
557.38427734375,0.9685519933700562,-1103.10546875,14974.5966796875
664.671630859375,0.9845119118690491,-1107.386474609375,20960.71484375
687.7552490234375,0.6304827332496643,-1088.2464599609375,21405.158203125
691.7666015625,0.9650396704673767,-1109.18408203125,20881.91796875
633.324462890625,1.2553448677062988,-1114.853759765625,20699.091796875
688.4061279296875,0.24462150037288666,-1099.480224609375,20925.37890625
495.31719970703125,0.7775901556015015,-1095.483154296875,13864.4130859375
527.2659301757812,0.9288504719734192,-1113.844482421875,16530.3125
615.4009399414062,0.7331622838973999,-1117.353515625,17166.220703125
635.0745239257812,1.091519832611084,-1119.00048828125,16985.4140625
699.327880859375,1.0366833209991455,-1101.5836181640625,19938.568359375
669.5050659179688,1.1301004886627197,-1101.197265625,18073.17578125
702.901611328125,0.729682207107544,-1105.7894287109375,21432.916015625
592.660888671875,0.6225723624229431,-1102.2705078125,16140.3837890625
581.5426025390625,0.5403366088867188,-1093.8466796875,17152.6171875
634.4816284179688,1.017699122428894,-1102.806884765625,17602.056640625
585.1782836914062,0.9207195043563843,-1110.7708740234375,17873.943359375
557.9948120117188,0.8372742533683777,-1088.212646484375,15307.744140625
553.8446655273438,0.09505581855773926,-1086.4427490234375,13827.736328125
524.9814453125,1.2676596641540527,-1099.482666015625,13748.138671875
585.2545166015625,1.3128662109375,-1103.243896484375,15989.1650390625
605.698486328125,0.8480131030082703,-1094.289794921875,18637.546875
554.580322265625,1.1583008766174316,-1106.1539306640625,15004.677734375
486.203369140625,0.31027984619140625,-1112.823486328125,12732.6201171875
422.8876037597656,0.7931566834449768,-1098.985595703125,10102.0078125
378.95965576171875,0.8684102296829224,-1086.22216796875,11977.1708984375
405.4720458984375,1.0209988355636597,-1083.377685546875,9819.091796875
274.3190002441406,1.267736554145813,-1103.707763671875,4734.56689453125
262.9305114746094,0.999982476234436,-1102.14404296875,4995.04150390625
207.40335083007812,1.2599343061447144,-1101.267822265625,4904.8603515625
343.40338134765625,1.1879525184631348,-1104.4013671875,6203.78271484375
188.36917114257812,0.8739279508590698,-1102.9981689453125,2841.922607421875
273.87493896484375,0.8970744609832764,-1119.4940185546875,3776.259033203125
223.5172576904297,1.0938336849212646,-1103.8388671875,6546.53662109375
345.96710205078125,0.46346884965896606,-1098.1851806640625,9048.421875
284.04791259765625,1.0273404121398926,-1126.312744140625,6350.89208984375
407.8816223144531,1.1588163375854492,-1103.85009765625,13278.025390625
512.6620483398438,0.3084685802459717,-1107.6435546875,12947.072265625
541.523681640625,0.9136679768562317,-1098.4139404296875,15733.6708984375
585.5033569335938,1.1116960048675537,-1105.1470947265625,16862.0546875
603.14013671875,0.7324932813644409,-1113.096435546875,18205.544921875
713.2482299804688,0.951680600643158,-1099.120849609375,22415.025390625
721.2727661132812,0.7521244287490845,-1124.2781982421875,21828.06640625
715.8126831054688,0.6696553230285645,-1091.596923828125,20720.474609375
749.931640625,0.6811369061470032,-1088.5262451171875,23636.77734375
707.0929565429688,0.971286416053772,-1123.106201171875,22715.96875
529.1708374023438,0.9442484378814697,-1099.33935546875,16178.7705078125
544.5769653320312,0.7899153232574463,-1092.30419921875,17154.30078125
452.83709716796875,0.3489166498184204,-1105.643798828125,12262.892578125
482.60650634765625,1.051072597503662,-1084.3638916015625,13156.8818359375
630.3707275390625,1.27957284450531,-1115.09912109375,18602.21484375
662.288818359375,1.2033922672271729,-1116.52099609375,18891.82421875
630.5199584960938,0.7954319715499878,-1111.990234375,20551.791015625
