a_C,a_Ni,a_Mn,a_V,a_Al,a_Si,a_Cr,a_Mo,a_Co,C0
-162.4500732421875,53.8814697265625,288.974609375,199.7998046875,-26.5072021484375,51.30517578125,281.8031005859375,500.8797607421875,223.016845703125,43.6064453125
-191.1629638671875,59.978759765625,259.583984375,318.93701171875,-38.3262939453125,51.9473876953125,273.5537109375,454.499755859375,188.074951171875,102.8741455078125
-183.0325927734375,65.301513671875,248.8294677734375,327.14306640625,-42.72412109375,54.8551025390625,233.2354736328125,444.1312255859375,328.138427734375,137.98193359375
-179.19097900390625,68.0264892578125,264.5531005859375,428.334228515625,-6.642578125,44.5628662109375,244.3258056640625,436.90234375,265.0023193359375,110.732421875
-194.376953125,59.88330078125,282.3226318359375,363.8280029296875,-83.077880859375,47.2916259765625,257.8033447265625,478.67919921875,269.491455078125,101.74072265625
-185.99462890625,72.00634765625,282.0994873046875,300.4244384765625,-40.9525146484375,51.1458740234375,279.64013671875,490.1058349609375,235.860595703125,45.8837890625
-183.3402099609375,63.060302734375,261.5067138671875,211.870849609375,-119.33050537109375,74.81689453125,260.22998046875,482.1329345703125,209.7677001953125,95.10888671875
-167.79083251953125,69.3538818359375,284.5389404296875,380.5223388671875,-25.37054443359375,55.5284423828125,268.7322998046875,488.72216796875,242.9405517578125,40.453857421875
-159.91339111328125,61.261962890625,222.463623046875,436.7620849609375,-88.08807373046875,69.31396484375,259.489990234375,483.8173828125,271.762939453125,87.3504638671875
-176.25762939453125,43.4599609375,346.168701171875,343.87158203125,5.86474609375,23.82611083984375,271.4892578125,494.149169921875,208.098876953125,35.8419189453125
-170.8267822265625,61.7789306640625,242.98095703125,287.982666015625,5.94744873046875,58.130126953125,259.5413818359375,479.3421630859375,281.873046875,79.6297607421875
-172.09515380859375,52.5849609375,281.822509765625,301.531005859375,-68.12786865234375,40.0706787109375,241.88330078125,435.7130126953125,209.93408203125,125.2337646484375
-167.76910400390625,49.370849609375,275.48974609375,314.091796875,-99.48834228515625,48.0445556640625,270.722900390625,454.4072265625,220.734130859375,81.944091796875
-168.81103515625,46.4122314453125,251.8121337890625,319.635009765625,-83.1578369140625,61.81396484375,262.81396484375,460.2586669921875,264.423095703125,87.535400390625
-203.38385009765625,57.1485595703125,275.7027587890625,313.70751953125,-19.7799072265625,45.9600830078125,251.9110107421875,476.4996337890625,299.9725341796875,138.460693359375
-187.64892578125,52.8751220703125,258.7935791015625,349.9765625,-99.97802734375,57.4752197265625,278.5843505859375,460.7183837890625,327.291748046875,102.5474853515625
-167.1890869140625,52.323974609375,276.5999755859375,356.0994873046875,-2.123291015625,46.0186767578125,269.5819091796875,496.6556396484375,242.709716796875,53.4163818359375
-185.72735595703125,67.233642578125,277.29052734375,272.8765869140625,-25.6031494140625,58.1295166015625,248.494140625,488.5369873046875,224.2568359375,87.822998046875
-174.14923095703125,60.9713134765625,273.86669921875,342.5933837890625,-125.93341064453125,57.56884765625,278.5291748046875,501.4112548828125,199.8189697265625,65.713623046875
-184.839111328125,66.6734619140625,302.7760009765625,404.12646484375,-34.711669921875,51.549072265625,262.502197265625,468.5926513671875,283.6016845703125,49.959228515625
-187.49700927734375,63.0716552734375,274.203369140625,401.7802734375,-18.935302734375,50.9718017578125,255.72998046875,467.0994873046875,166.3353271484375,109.4847412109375
-175.13665771484375,54.294189453125,268.779296875,322.1527099609375,-78.338623046875,49.3682861328125,258.375244140625,427.735595703125,216.38671875,130.66650390625
-200.50506591796875,61.609130859375,262.4615478515625,434.7904052734375,-101.51055908203125,50.296630859375,250.150390625,446.9107666015625,265.6092529296875,159.589111328125
-163.168701171875,42.3607177734375,233.53515625,433.701904296875,-34.15509033203125,67.547607421875,246.0465087890625,442.3028564453125,231.6121826171875,137.564453125
-187.195068359375,66.689208984375,243.8480224609375,608.3023681640625,-35.3154296875,61.103759765625,245.00830078125,458.149169921875,248.916015625,116.8753662109375
-158.7720947265625,68.6246337890625,252.3720703125,628.8209228515625,-34.25762939453125,53.11962890625,267.5035400390625,440.2490234375,206.0286865234375,65.2642822265625
-191.6829833984375,67.78369140625,279.9149169921875,570.370361328125,-70.335693359375,66.0205078125,271.3729248046875,490.193359375,273.3406982421875,50.2322998046875
-168.23236083984375,60.2799072265625,272.0523681640625,532.9141845703125,-61.7880859375,50.5128173828125,269.3262939453125,479.5030517578125,287.08740234375,69.6259765625
-143.04400634765625,45.6219482421875,221.4940185546875,399.235595703125,-105.5977783203125,70.0140380859375,263.4305419921875,444.3751220703125,317.6480712890625,84.4044189453125
-182.4390869140625,62.6534423828125,267.1060791015625,400.286376953125,-128.36810302734375,62.115966796875,261.416259765625,461.423095703125,402.186767578125,98.503173828125
-192.255615234375,41.870361328125,226.423828125,499.4107666015625,-113.9390869140625,50.655029296875,243.588134765625,399.424560546875,318.982421875,221.2159423828125
-185.0892333984375,38.8018798828125,222.0504150390625,593.736328125,-98.08648681640625,68.18359375,224.308349609375,425.092529296875,293.319091796875,206.395263671875
-189.77740478515625,38.7589111328125,235.1240234375,455.9085693359375,-48.17669677734375,50.291259765625,239.814697265625,409.6646728515625,266.21484375,203.90576171875
-188.23773193359375,46.6072998046875,228.218505859375,531.601318359375,-82.6715087890625,65.737060546875,230.0113525390625,399.5211181640625,308.5745849609375,193.1419677734375
-218.69683837890625,59.3861083984375,270.2708740234375,524.798095703125,-20.79718017578125,71.83154296875,253.345703125,471.4959716796875,286.7498779296875,145.9530029296875
-213.72491455078125,51.86328125,240.1756591796875,440.504638671875,-92.95928955078125,62.60302734375,256.3343505859375,428.790283203125,299.8309326171875,187.9410400390625
-193.12921142578125,38.07763671875,271.5792236328125,529.4888916015625,-60.14776611328125,60.757080078125,239.837646484375,402.5650634765625,269.794921875,164.7215576171875
-204.085693359375,34.2166748046875,221.8460693359375,508.3013916015625,-6.83587646484375,56.5660400390625,225.9259033203125,372.8223876953125,219.820068359375,274.9034423828125
-192.8780517578125,53.011962890625,244.871826171875,562.9053955078125,-75.1419677734375,63.408447265625,283.681396484375,446.0830078125,306.399658203125,121.037109375
-205.0736083984375,60.107666015625,268.633544921875,506.8642578125,-56.36199951171875,51.7991943359375,273.3848876953125,462.8427734375,280.8031005859375,125.184326171875
-178.379150390625,51.2779541015625,295.521240234375,550.2025146484375,-100.15765380859375,42.745849609375,256.7186279296875,483.1827392578125,318.988525390625,101.388916015625
-162.5931396484375,50.75537109375,250.9425048828125,506.725341796875,-124.12420654296875,48.0977783203125,261.0133056640625,436.20361328125,352.65771484375,99.652099609375
-154.7813720703125,66.7235107421875,264.070068359375,463.2237548828125,-111.74285888671875,42.3868408203125,252.59619140625,444.5374755859375,281.862060546875,97.1787109375
-172.844482421875,53.127197265625,267.7447509765625,587.221923828125,-95.63726806640625,41.7784423828125,263.69482421875,473.7724609375,199.142333984375,110.178955078125
-177.24066162109375,57.3900146484375,276.1248779296875,448.3311767578125,-76.19775390625,54.861328125,270.2498779296875,497.3082275390625,218.802001953125,67.2735595703125
-178.10186767578125,58.714599609375,295.8460693359375,479.286376953125,-16.94842529296875,42.6600341796875,280.7171630859375,495.4644775390625,263.9451904296875,19.75286865234375
-184.8419189453125,58.0360107421875,291.6575927734375,567.308349609375,-56.363525390625,56.304443359375,264.0321044921875,486.0576171875,275.651123046875,70.036376953125
-163.55169677734375,66.7308349609375,274.416748046875,436.6043701171875,-127.4688720703125,62.3427734375,267.7977294921875,490.8175048828125,319.75732421875,23.76708984375
-167.99945068359375,48.684814453125,250.5821533203125,293.1798095703125,-93.31573486328125,62.923828125,265.5445556640625,500.21533203125,261.7978515625,72.0096435546875
-183.261474609375,83.70556640625,281.8331298828125,262.9151611328125,-32.6507568359375,64.7470703125,266.763916015625,496.959228515625,205.4091796875,30.998046875
-170.4429931640625,55.9781494140625,289.21044921875,406.9102783203125,-59.089111328125,51.3929443359375,258.3743896484375,484.9522705078125,232.81103515625,75.649658203125
-178.32818603515625,56.31787109375,292.7569580078125,397.4171142578125,-21.0872802734375,58.0731201171875,280.885498046875,483.9847412109375,190.3447265625,64.478759765625
-169.00079345703125,56.825927734375,268.607666015625,333.8717041015625,-26.39532470703125,61.926513671875,276.3446044921875,505.63330078125,235.50732421875,44.4510498046875
-180.132080078125,62.839599609375,320.8370361328125,422.3291015625,-7.9591064453125,43.4598388671875,270.1868896484375,511.356689453125,185.617919921875,30.1236572265625
-175.549072265625,65.839111328125,304.6885986328125,285.4615478515625,-67.3521728515625,60.8311767578125,275.463623046875,530.4058837890625,179.720458984375,16.3126220703125
-169.26043701171875,74.8121337890625,281.7691650390625,128.5927734375,-95.0772705078125,71.7620849609375,259.021484375,498.4403076171875,201.0042724609375,27.2220458984375
-175.37518310546875,63.0118408203125,312.3765869140625,97.666259765625,-6.53985595703125,44.652099609375,270.75927734375,508.2392578125,164.0916748046875,31.3626708984375
-154.72650146484375,69.6431884765625,285.40087890625,262.81591796875,7.2225341796875,53.623779296875,261.917236328125,492.003662109375,106.0394287109375,33.5587158203125
-165.6644287109375,56.47705078125,256.1619873046875,312.085693359375,5.67938232421875,59.8946533203125,287.0693359375,495.6724853515625,191.380615234375,27.7955322265625
-169.9039306640625,56.870361328125,280.144775390625,312.55322265625,-60.03985595703125,66.018310546875,267.9232177734375,510.852294921875,66.9537353515625,46.5050048828125
-180.82061767578125,54.391357421875,263.52685546875,325.19921875,-44.59124755859375,47.5072021484375,297.9320068359375,448.4014892578125,226.927734375,86.6884765625
-167.42633056640625,75.2691650390625,243.367919921875,184.1134033203125,-43.297119140625,64.4862060546875,279.9649658203125,482.1856689453125,205.326416015625,62.8912353515625
-194.59063720703125,66.6805419921875,256.7666015625,91.5313720703125,-61.24810791015625,71.80029296875,273.114501953125,500.972412109375,268.5328369140625,68.6455078125
-190.94976806640625,53.482421875,280.3023681640625,142.38232421875,-70.44061279296875,46.73095703125,245.9078369140625,469.2318115234375,252.947265625,129.101806640625
-159.3436279296875,52.33203125,235.274169921875,277.248779296875,-37.35784912109375,56.6510009765625,270.1300048828125,464.892822265625,257.0128173828125,76.9051513671875
-182.00250244140625,59.8092041015625,251.065673828125,258.7701416015625,-1.72442626953125,60.89453125,284.056396484375,461.1513671875,201.5733642578125,89.7635498046875
-166.9111328125,63.18212890625,284.20068359375,125.8681640625,-53.3179931640625,49.4925537109375,235.0850830078125,471.198974609375,223.5189208984375,76.21435546875
