a_Mo,a_Co,a_Cr,a_C,a_Mn,a_Al,C0,a_V,a_Ni,a_Si
579.619384765625,365.9730224609375,330.5338134765625,-148.4208984375,400.8115234375,-79.3153076171875,-89.4759521484375,309.53857421875,80.8115234375,50.989501953125
512.839599609375,314.9847412109375,314.4066162109375,-136.2529296875,337.3258056640625,-137.44793701171875,-55.8760986328125,389.316162109375,78.135986328125,62.6163330078125
520.8193359375,309.32861328125,307.2996826171875,-140.8380126953125,348.7584228515625,-145.987060546875,-57.54241943359375,372.181640625,88.5400390625,65.3963623046875
512.3070068359375,335.194580078125,317.014892578125,-132.887939453125,263.548095703125,-107.9088134765625,-11.69683837890625,513.2064208984375,83.7264404296875,65.1966552734375
511.10009765625,157.9786376953125,297.984130859375,-149.4600830078125,309.1971435546875,-35.08599853515625,20.1678466796875,468.7039794921875,84.2059326171875,60.309814453125
484.463623046875,124.5538330078125,286.99462890625,-128.39495849609375,305.762939453125,-75.7657470703125,8.94879150390625,457.20654296875,78.9461669921875,63.6097412109375
537.65380859375,97.831787109375,293.194091796875,-144.39471435546875,327.193603515625,-43.429443359375,-21.815673828125,553.475830078125,85.8797607421875,61.89404296875
535.390625,199.317138671875,293.269287109375,-138.2586669921875,309.1441650390625,-52.22576904296875,-58.74993896484375,529.2301025390625,90.604248046875,70.5675048828125
547.280029296875,219.025146484375,316.1099853515625,-139.71649169921875,298.4925537109375,-62.8450927734375,-76.768798828125,564.06689453125,97.6373291015625,72.822021484375
548.720947265625,224.597412109375,284.5440673828125,-114.159912109375,315.248291015625,-143.90673828125,-70.05364990234375,625.3582763671875,95.8328857421875,65.9111328125
522.320556640625,230.8778076171875,294.2161865234375,-168.8543701171875,299.6068115234375,-83.935546875,19.281982421875,582.22412109375,84.398681640625,63.2874755859375
554.517578125,125.8138427734375,315.17822265625,-138.47900390625,280.06787109375,-0.02728271484375,-59.0836181640625,457.4327392578125,95.616455078125,70.890869140625
501.44140625,84.1856689453125,287.103515625,-151.4727783203125,332.2935791015625,-73.41522216796875,18.3671875,489.9814453125,83.9144287109375,55.9412841796875
515.0113525390625,107.1312255859375,297.396484375,-147.34368896484375,334.5853271484375,-50.09716796875,-37.869140625,398.8603515625,78.765380859375,57.921875
506.616943359375,137.86474609375,323.37841796875,-140.78631591796875,335.3228759765625,-44.87310791015625,-32.71026611328125,317.483642578125,74.6146240234375,45.8447265625
511.0111083984375,194.8055419921875,299.6470947265625,-134.01812744140625,297.28515625,-100.49212646484375,-10.55145263671875,259.8994140625,88.6239013671875,63.188720703125
520.021484375,224.2049560546875,281.5477294921875,-133.29229736328125,319.707275390625,-120.73614501953125,-11.2354736328125,310.64013671875,82.0423583984375,63.423095703125
493.5853271484375,129.1258544921875,274.575439453125,-147.2181396484375,322.828125,-56.71142578125,59.2213134765625,371.8006591796875,64.164794921875,42.0640869140625
485.0784912109375,184.8275146484375,272.5927734375,-157.720947265625,299.1806640625,-113.7515869140625,93.72265625,411.2564697265625,72.0556640625,39.69970703125
481.0506591796875,249.079833984375,289.7822265625,-154.68414306640625,247.262939453125,-136.46075439453125,84.4757080078125,421.2220458984375,71.258056640625,81.338134765625
480.75,229.7099609375,290.3734130859375,-154.917724609375,302.5299072265625,-65.50445556640625,40.1439208984375,377.2645263671875,81.3026123046875,59.3575439453125
461.7047119140625,247.1602783203125,280.011474609375,-160.6439208984375,235.130126953125,-134.15728759765625,111.512451171875,427.342529296875,77.26318359375,82.671142578125
495.0679931640625,170.70263671875,271.2119140625,-145.82794189453125,317.3994140625,-182.46417236328125,58.0999755859375,472.135498046875,65.7747802734375,52.7113037109375
515.4080810546875,158.731201171875,323.371826171875,-160.90576171875,329.5748291015625,-43.28204345703125,-27.48931884765625,512.4820556640625,90.83984375,57.1317138671875
519.0958251953125,283.970947265625,282.0924072265625,-133.6748046875,309.3387451171875,-154.602783203125,5.7117919921875,432.031005859375,78.428466796875,65.297119140625
491.2718505859375,391.9185791015625,295.286376953125,-163.78143310546875,294.593505859375,-187.816162109375,66.9912109375,486.688232421875,74.3564453125,61.3065185546875
493.921875,286.806396484375,280.0084228515625,-145.6826171875,329.273681640625,-106.13995361328125,43.2320556640625,501.0863037109375,72.349609375,39.999755859375
511.44384765625,251.1612548828125,298.9881591796875,-156.585205078125,301.3021240234375,-95.27764892578125,32.63916015625,378.180908203125,79.2236328125,64.883056640625
512.7945556640625,288.5906982421875,287.2774658203125,-159.0858154296875,292.2061767578125,-131.02850341796875,53.5084228515625,379.5380859375,67.6580810546875,86.931884765625
562.8251953125,248.474609375,282.4483642578125,-158.45111083984375,324.0889892578125,-128.7359619140625,-22.702392578125,360.005126953125,93.00390625,77.673095703125
533.892822265625,230.7559814453125,312.7802734375,-131.91851806640625,322.0701904296875,-135.04754638671875,-57.11181640625,365.013916015625,93.76318359375,68.37646484375
490.83642578125,244.47021484375,289.15576171875,-147.346923828125,306.00634765625,-68.52178955078125,37.2701416015625,410.4736328125,74.5574951171875,54.80712890625
495.9521484375,92.4495849609375,281.210205078125,-157.83935546875,331.4942626953125,-1.48291015625,36.813720703125,517.1317138671875,85.48095703125,45.609130859375
512.027099609375,85.2598876953125,291.246337890625,-152.12066650390625,312.514892578125,-27.71435546875,5.96746826171875,483.5760498046875,86.290283203125,71.5909423828125
