a_Si,a_Mo,a_Cr,a_Mn,a_Co,a_C,a_Ni,C0,a_V,a_Al
55.96417236328125,466.7855224609375,262.17291259765625,299.323974609375,465.6168212890625,167.6119384765625,69.57513427734375,17.40625,564.738037109375,-141.18896484375
62.39190673828125,498.83306884765625,258.39892578125,272.4952392578125,524.0848388671875,177.42333984375,76.51177978515625,0.2237548828125,490.9121398925781,-158.7857666015625
63.68206787109375,465.28076171875,265.64532470703125,262.0780029296875,494.8485412597656,157.44598388671875,67.62786865234375,44.5858154296875,466.995849609375,-75.77587890625
52.80755615234375,491.5321350097656,256.9066162109375,304.8009033203125,412.24444580078125,160.73443603515625,84.23199462890625,10.2845458984375,637.1697998046875,-100.3590087890625
40.46148681640625,456.8719482421875,267.69158935546875,294.5733642578125,438.86358642578125,158.38262939453125,52.750244140625,67.0908203125,334.294189453125,-113.4215087890625
69.58782958984375,489.2421875,245.79156494140625,291.6351318359375,228.601318359375,191.6280517578125,64.2762451171875,5.97265625,409.35791015625,-64.36474609375
54.852783203125,465.5595703125,252.7154541015625,305.12176513671875,264.1353759765625,178.17645263671875,60.7161865234375,8.18603515625,649.1998291015625,-16.626953125
59.030029296875,423.53564453125,251.95574951171875,254.383544921875,349.23681640625,174.926025390625,59.41973876953125,55.869140625,433.810791015625,-31.7039794921875
57.47576904296875,477.95648193359375,266.2884521484375,315.78955078125,270.00994873046875,153.14288330078125,64.685546875,22.9517822265625,572.051025390625,-16.6063232421875
68.4942626953125,483.37701416015625,251.98583984375,274.2694091796875,416.571533203125,170.2320556640625,72.907958984375,7.7330322265625,707.7874755859375,-111.0877685546875
53.91717529296875,474.36334228515625,257.65875244140625,305.583740234375,407.1817626953125,165.85601806640625,60.9654541015625,19.8270263671875,709.4730834960938,-80.594970703125
62.10736083984375,436.91888427734375,230.52911376953125,279.87017822265625,328.154052734375,156.83349609375,72.98150634765625,92.7562255859375,595.66748046875,-130.4432373046875
61.32415771484375,491.16754150390625,256.9449462890625,260.50299072265625,355.903564453125,175.926025390625,73.169677734375,12.88818359375,537.2455444335938,-42.0406494140625
46.6080322265625,486.4959716796875,246.9683837890625,310.87506103515625,392.37164306640625,170.81671142578125,72.696044921875,21.09521484375,757.7791748046875,-165.74755859375
40.36248779296875,473.817626953125,249.82794189453125,317.75543212890625,331.70623779296875,145.5159912109375,75.0313720703125,44.8828125,792.61865234375,-86.6104736328125
70.81787109375,473.133056640625,246.3707275390625,294.763916015625,388.33978271484375,154.361328125,73.2066650390625,41.9874267578125,677.023681640625,-66.9014892578125
56.77783203125,475.70703125,241.72698974609375,289.8785400390625,401.92230224609375,181.1842041015625,71.9903564453125,11.2125244140625,792.6844482421875,-115.326904296875
48.1676025390625,467.07977294921875,264.50189208984375,307.15496826171875,478.4171142578125,148.70404052734375,73.5926513671875,26.2974853515625,687.5446166992188,-97.357666015625
47.54620361328125,451.70098876953125,242.0980224609375,318.36749267578125,366.4560546875,126.0185546875,81.0650634765625,82.6390380859375,679.4984741210938,-63.15869140625
61.162109375,433.52532958984375,246.81146240234375,251.15240478515625,283.034423828125,149.0013427734375,65.91796875,103.669677734375,789.9783935546875,-50.490234375
40.50994873046875,453.69451904296875,265.88653564453125,271.00823974609375,438.60162353515625,167.11260986328125,55.03179931640625,41.8902587890625,845.0546875,-82.7093505859375
52.364501953125,451.3004150390625,257.32421875,284.3955078125,416.075927734375,148.0596923828125,63.83514404296875,69.1597900390625,834.3889770507812,-117.3009033203125
63.13861083984375,476.47760009765625,259.67694091796875,289.1064453125,488.3464050292969,154.91058349609375,74.4873046875,13.352783203125,679.40380859375,-112.8170166015625
67.28326416015625,458.37017822265625,263.5184326171875,268.8026123046875,580.1552124023438,158.66705322265625,79.24212646484375,30.051025390625,354.61273193359375,-21.25213623046875
50.4117431640625,430.2569580078125,226.4761962890625,273.58978271484375,507.1233215332031,170.0745849609375,63.109375,74.37060546875,518.3836669921875,-124.4044189453125
79.74102783203125,484.7152099609375,240.37506103515625,246.873046875,586.2738037109375,191.875,70.0008544921875,12.593505859375,458.42095947265625,-197.6341552734375
67.052001953125,431.536865234375,248.80389404296875,263.4632568359375,469.471435546875,175.77825927734375,64.306640625,57.390625,401.58197021484375,-159.891845703125
