a_C,a_Mo,a_Mn,a_V,a_Ni,a_Al,a_Si,a_Cr,C0,a_Co
153.22930908203125,484.36444091796875,310.6170654296875,458.80523681640625,66.78045654296875,-95.305908203125,62.8702392578125,265.95330810546875,3.81494140625,294.4095458984375
141.55804443359375,504.9713134765625,328.22760009765625,376.7000732421875,76.16107177734375,-101.7313232421875,55.11810302734375,258.9156494140625,20.56591796875,295.27423095703125
149.05767822265625,503.8783874511719,304.0286865234375,491.2726135253906,66.11700439453125,-119.671142578125,41.6884765625,258.78973388671875,25.6959228515625,231.423828125
143.32012939453125,454.53240966796875,316.25433349609375,601.4577026367188,63.68377685546875,-68.09765625,45.8564453125,269.479248046875,34.3028564453125,364.55670166015625
132.7802734375,461.93182373046875,284.71490478515625,604.4369506835938,74.72210693359375,-69.2425537109375,59.19921875,248.1201171875,82.029052734375,291.6607666015625
169.09661865234375,443.2071533203125,284.19281005859375,470.11798095703125,63.74822998046875,-156.044677734375,64.80780029296875,262.92724609375,25.4949951171875,371.33026123046875
172.69989013671875,471.4656982421875,292.6004638671875,544.2738037109375,68.51904296875,-83.670654296875,55.5491943359375,256.9390869140625,9.43310546875,337.75714111328125
161.94586181640625,486.9945068359375,308.34368896484375,632.71484375,65.4913330078125,-132.970947265625,59.43701171875,255.23309326171875,9.052734375,413.56988525390625
146.54119873046875,447.62127685546875,287.68170166015625,386.017578125,45.863525390625,-101.7401123046875,59.80035400390625,255.66229248046875,93.176025390625,284.12139892578125
147.4857177734375,475.91656494140625,298.80963134765625,335.98272705078125,63.33026123046875,-132.9307861328125,68.28369140625,240.51025390625,47.7015380859375,414.1795654296875
164.7738037109375,490.7467956542969,284.06170654296875,392.52099609375,77.89520263671875,-99.65478515625,66.8125,258.443603515625,2.949462890625,306.7606201171875
163.67169189453125,468.9605712890625,286.42138671875,553.3951416015625,57.909423828125,-158.75927734375,63.694091796875,250.42889404296875,27.5809326171875,376.79833984375
157.54412841796875,480.17095947265625,269.12896728515625,584.6067504882812,63.2760009765625,-94.5750732421875,67.1114501953125,279.13812255859375,26.93896484375,310.242431640625
157.848876953125,484.6234130859375,294.2161865234375,465.8883056640625,66.3013916015625,-152.9517822265625,68.4031982421875,262.145263671875,11.7967529296875,371.33349609375
151.46551513671875,468.73907470703125,275.063720703125,532.8524169921875,56.25128173828125,-62.2630615234375,60.72216796875,263.13189697265625,53.6427001953125,338.03448486328125
144.11614990234375,507.3659362792969,285.56915283203125,460.35137939453125,56.77264404296875,-107.400634765625,78.63360595703125,263.43487548828125,21.2850341796875,290.1981201171875
147.48602294921875,467.66717529296875,308.24609375,485.67388916015625,57.76495361328125,-86.67724609375,61.5770263671875,263.76934814453125,29.3983154296875,249.59320068359375
155.01171875,491.8577575683594,304.86273193359375,437.15252685546875,72.26971435546875,-149.4208984375,69.41912841796875,257.90679931640625,7.828857421875,383.38360595703125
165.019287109375,451.44061279296875,283.0572509765625,653.33056640625,57.01190185546875,-52.9644775390625,56.88153076171875,245.1827392578125,65.057861328125,249.859375
158.5562744140625,456.6363525390625,325.13226318359375,470.498779296875,44.91943359375,-147.976318359375,62.00616455078125,269.34393310546875,25.885986328125,420.1910400390625
126.6483154296875,511.0449523925781,308.1395263671875,469.33648681640625,63.95477294921875,-189.190185546875,73.03253173828125,264.26708984375,2.4237060546875,480.2940673828125
139.2158203125,495.8152770996094,314.20703125,524.0817260742188,70.78582763671875,-97.802734375,61.6866455078125,264.47186279296875,22.3741455078125,360.97930908203125
175.0069580078125,449.48284912109375,276.0010986328125,442.4072265625,54.58837890625,-105.476318359375,52.52874755859375,243.2025146484375,48.8631591796875,385.701416015625
140.64013671875,471.60015869140625,272.385986328125,596.6190185546875,60.47674560546875,-152.31201171875,81.9071044921875,248.45947265625,80.4908447265625,388.09283447265625
172.3546142578125,473.68701171875,301.232177734375,517.921142578125,54.96063232421875,-162.318359375,58.75543212890625,254.24798583984375,17.585693359375,311.51141357421875
149.90478515625,507.3056640625,293.9359130859375,209.0435791015625,49.69378662109375,-14.98626708984375,68.1402587890625,263.7567138671875,40.9615478515625,173.35968017578125
136.75152587890625,503.87158203125,289.857421875,274.965087890625,80.21942138671875,-66.804931640625,72.73577880859375,278.4656982421875,7.0491943359375,228.722900390625
152.66796875,492.26177978515625,298.0008544921875,542.343994140625,55.339599609375,-161.1236572265625,66.42816162109375,272.0106201171875,25.7449951171875,326.75567626953125
145.70050048828125,460.38690185546875,291.1405029296875,344.4207763671875,65.9615478515625,-106.9482421875,66.79608154296875,268.5521240234375,54.634765625,223.39361572265625
126.71746826171875,445.06549072265625,293.9757080078125,631.432373046875,64.9940185546875,-63.86328125,33.36102294921875,275.96234130859375,79.3001708984375,329.22479248046875
155.19769287109375,450.62139892578125,293.03057861328125,380.90203857421875,45.5653076171875,-102.6312255859375,57.6676025390625,248.703125,68.804931640625,227.19384765625
145.5167236328125,537.293212890625,300.84844970703125,314.26544189453125,61.27703857421875,-134.2845458984375,65.588623046875,273.56195068359375,14.4169921875,403.939453125
170.57452392578125,461.71685791015625,302.5025634765625,352.3433837890625,49.9007568359375,-208.918701171875,60.3135986328125,247.70587158203125,15.591552734375,536.1258544921875
152.00872802734375,487.66082763671875,297.78778076171875,211.49609375,56.89691162109375,-191.550537109375,72.53973388671875,239.49127197265625,44.2193603515625,499.2633361816406
146.08062744140625,471.8995361328125,284.9945068359375,261.1614990234375,65.00836181640625,-97.2586669921875,51.12298583984375,288.6312255859375,42.8499755859375,401.0240478515625
161.34881591796875,454.0728759765625,254.0306396484375,246.5341796875,57.71954345703125,-136.039794921875,80.32647705078125,252.02874755859375,42.1363525390625,256.5413818359375
169.44842529296875,450.091064453125,288.2008056640625,146.2384033203125,58.3826904296875,-141.9815673828125,62.8115234375,264.75872802734375,18.1395263671875,285.177978515625
162.61932373046875,457.07281494140625,286.64947509765625,-23.86676025390625,65.57611083984375,-152.189697265625,79.58685302734375,268.845458984375,13.38330078125,264.58258056640625
153.2044677734375,508.3058166503906,316.64013671875,110.0120849609375,65.5921630859375,-86.05712890625,56.62860107421875,260.222412109375,17.1492919921875,213.7235107421875
166.3983154296875,488.899658203125,275.181884765625,88.91204833984375,66.600830078125,-116.04736328125,64.8828125,267.05548095703125,25.4342041015625,193.8897705078125
154.40447998046875,498.9792785644531,272.15228271484375,132.88885498046875,66.61328125,-172.608154296875,81.89288330078125,265.27618408203125,26.3353271484375,236.26837158203125
164.44024658203125,504.37060546875,261.387451171875,296.12481689453125,70.5599365234375,-80.38037109375,82.51434326171875,266.39251708984375,6.552001953125,296.52978515625
166.449462890625,425.61199951171875,270.40960693359375,551.570556640625,67.577392578125,-108.2685546875,64.997802734375,252.42010498046875,66.5455322265625,260.8533935546875
166.059326171875,516.0530395507812,304.85235595703125,534.572998046875,63.5428466796875,-136.0477294921875,59.0128173828125,241.64703369140625,4.204833984375,326.43597412109375
149.1783447265625,494.3558654785156,297.82568359375,551.4575805664062,58.034912109375,-151.78662109375,68.57476806640625,280.25140380859375,10.3817138671875,371.123291015625
160.82281494140625,458.0068359375,315.74896240234375,667.18359375,62.7001953125,-129.9144287109375,53.73016357421875,263.81494140625,11.45166015625,265.99310302734375
158.23858642578125,457.19317626953125,260.95587158203125,622.1077270507812,43.71514892578125,-127.4849853515625,74.1807861328125,259.37548828125,69.640380859375,457.56365966796875
144.73162841796875,479.70263671875,328.2738037109375,427.1610107421875,58.84149169921875,-241.1395263671875,61.34222412109375,250.5906982421875,50.310302734375,368.45184326171875
155.9510498046875,493.8717346191406,312.74810791015625,376.83489990234375,55.38946533203125,-114.62158203125,62.4842529296875,268.30511474609375,23.148681640625,258.870849609375
144.68505859375,484.31182861328125,256.2899169921875,292.69195556640625,72.0048828125,-82.609619140625,91.07061767578125,251.14111328125,70.060302734375,309.4713134765625
138.83319091796875,430.25323486328125,282.2911376953125,175.90972900390625,59.23529052734375,-91.6417236328125,58.5245361328125,233.976318359375,124.5528564453125,401.34326171875
181.255859375,477.3673095703125,223.22991943359375,108.6510009765625,50.1529541015625,-198.9619140625,97.06793212890625,274.11822509765625,14.9990234375,427.78125
160.66552734375,512.96044921875,281.6031494140625,227.73431396484375,60.7591552734375,-164.478515625,67.1312255859375,270.73797607421875,2.1072998046875,472.7991943359375
148.6666259765625,479.62591552734375,315.67230224609375,449.595458984375,60.46466064453125,-179.769287109375,64.8310546875,269.08209228515625,25.174560546875,420.0809326171875
