a_C,a_V,a_Ni,a_Mn,a_Si,a_Al,C0,a_Cr,a_Mo,a_Co
-167.59564208984375,436.25146484375,69.307373046875,255.373779296875,63.8486328125,-116.36737060546875,52.1529541015625,246.948974609375,491.4769287109375,294.4354248046875
-164.6038818359375,374.6011962890625,66.7335205078125,244.74609375,63.0006103515625,-126.6717529296875,44.3289794921875,270.175048828125,492.8104248046875,373.9390869140625
-180.917724609375,291.3360595703125,68.41162109375,280.2315673828125,54.49853515625,-108.36376953125,42.9837646484375,263.070068359375,550.885009765625,305.14599609375
-168.69384765625,506.7135009765625,47.5433349609375,278.0645751953125,52.8837890625,-77.73846435546875,81.9244384765625,253.189208984375,466.059814453125,266.8536376953125
-170.832275390625,486.78564453125,43.4183349609375,261.260498046875,51.071533203125,-81.51019287109375,101.7379150390625,256.92431640625,483.848388671875,225.9052734375
-169.42315673828125,460.3895263671875,60.5069580078125,253.7047119140625,56.052001953125,-54.3265380859375,45.1083984375,270.5994873046875,525.7357177734375,196.691162109375
-163.10577392578125,526.4085693359375,45.689697265625,283.65673828125,45.371337890625,-103.64349365234375,39.1761474609375,271.4444580078125,505.4412841796875,156.9075927734375
-195.83984375,468.914794921875,68.98583984375,302.2396240234375,60.1947021484375,-136.29437255859375,49.209716796875,254.942138671875,503.52294921875,265.35546875
-205.3712158203125,374.2135009765625,72.3006591796875,292.201904296875,82.3040771484375,-67.61431884765625,52.07177734375,268.3323974609375,508.022705078125,158.380615234375
-152.0673828125,394.187744140625,46.207275390625,259.2103271484375,52.0494384765625,-101.4288330078125,63.9996337890625,256.06103515625,465.9593505859375,244.7381591796875
-166.83306884765625,393.1552734375,59.2413330078125,287.053955078125,58.2222900390625,-40.1529541015625,30.5255126953125,274.6712646484375,479.9444580078125,115.276611328125
-171.78546142578125,546.2498779296875,50.6795654296875,273.50537109375,57.1541748046875,-12.144775390625,77.55322265625,255.338623046875,481.227783203125,81.4215087890625
-193.1622314453125,414.1822509765625,58.07568359375,244.4295654296875,60.185791015625,-19.550537109375,152.08642578125,241.7587890625,435.5382080078125,197.3299560546875
-166.67181396484375,449.3092041015625,47.48291015625,302.5255126953125,38.618408203125,-36.95654296875,71.8709716796875,242.962158203125,491.93359375,115.9456787109375
