e_Mo,e_Co,e_0,e_Cr,e_Mn,sigma,e_C,e_Al,e_V,e_Ni,e_Si,nu
-79.70816040039062,-58.408447265625,747.04296875,-48.5260009765625,-77.02838134765625,20.67555046081543,-33.5555419921875,18.376922607421875,-81.93338012695312,-29.107696533203125,-7.335693359375,30.752243041992188
-75.9423828125,-24.076080322265625,755.3155517578125,-52.02467346191406,-70.92141723632812,19.166059494018555,-39.17108154296875,15.419097900390625,-45.81304931640625,-31.31451416015625,-11.032562255859375,45.12830352783203
-67.20030212402344,-66.81288146972656,737.2100830078125,-47.95854187011719,-68.43101501464844,21.840805053710938,-37.36419677734375,35.018646240234375,-50.79461669921875,-26.6116943359375,-8.886932373046875,34.81448745727539
-73.905517578125,-39.869598388671875,745.400146484375,-51.76847839355469,-73.56488037109375,21.832775115966797,-36.33221435546875,22.996307373046875,-65.22906494140625,-30.817413330078125,-8.9207763671875,45.03981018066406
-70.40199279785156,-21.038848876953125,741.5042114257812,-49.959808349609375,-68.52839660644531,20.090044021606445,-36.51416015625,11.764556884765625,-58.70155334472656,-29.614013671875,-8.5670166015625,43.859004974365234
-71.49476623535156,-27.495391845703125,739.247802734375,-47.041229248046875,-74.48292541503906,22.36001205444336,-35.17083740234375,11.55621337890625,-48.51289367675781,-28.9268798828125,-9.603515625,30.340782165527344
-78.09367370605469,-35.977630615234375,761.677490234375,-54.05035400390625,-73.22711181640625,19.529340744018555,-38.019378662109375,23.80712890625,-68.88729858398438,-32.323699951171875,-10.938446044921875,21.829055786132812
-81.88441467285156,-37.602386474609375,768.1729125976562,-51.925048828125,-78.76637268066406,19.687633514404297,-43.938995361328125,25.245208740234375,-81.32443237304688,-30.20098876953125,-7.025390625,16.206716537475586
-69.20927429199219,-20.399261474609375,744.5859985351562,-51.3187255859375,-69.14457702636719,19.971027374267578,-38.602874755859375,16.192626953125,-48.385223388671875,-28.21185302734375,-9.003509521484375,21.324583053588867
-75.90473937988281,-40.38226318359375,750.7327270507812,-47.451568603515625,-69.33000183105469,19.733226776123047,-40.37274169921875,21.09088134765625,-41.393310546875,-27.70306396484375,-10.50823974609375,14.161385536193848
-68.67259216308594,-30.395904541015625,734.05810546875,-47.09814453125,-70.5469970703125,18.511268615722656,-33.5845947265625,20.116241455078125,-39.95751953125,-28.830291748046875,-9.8641357421875,22.85478401184082
-71.60414123535156,-15.868743896484375,753.807373046875,-50.68109130859375,-72.85133361816406,19.139190673828125,-38.9906005859375,15.232269287109375,-14.049102783203125,-31.1463623046875,-11.084808349609375,5.5037841796875
-70.37527465820312,-42.41363525390625,743.7615356445312,-46.93730163574219,-69.02804565429688,20.315290451049805,-38.734375,14.040985107421875,19.775115966796875,-29.019805908203125,-12.605010986328125,23.81215476989746
-71.42791748046875,-60.13410949707031,752.38427734375,-47.78614807128906,-66.28910827636719,18.82040786743164,-42.936981201171875,31.570159912109375,-111.92408752441406,-30.193328857421875,-10.539031982421875,10.054219245910645
-73.25289916992188,-27.265838623046875,749.4271850585938,-52.44209289550781,-64.74099731445312,19.774677276611328,-36.066802978515625,7.150604248046875,-112.82481384277344,-31.5455322265625,-12.487701416015625,14.28848934173584
-80.02815246582031,-18.37493896484375,760.2960205078125,-50.398773193359375,-77.08403015136719,20.052383422851562,-38.337432861328125,5.287322998046875,-98.88191223144531,-32.290863037109375,-9.977508544921875,22.07290267944336
-74.63151550292969,-20.40228271484375,749.2169189453125,-49.45582580566406,-74.36796569824219,19.329805374145508,-36.76220703125,14.882720947265625,-113.45576477050781,-29.239501953125,-10.88287353515625,21.263185501098633
-71.5101318359375,-40.982025146484375,736.7420654296875,-48.87554931640625,-64.09359741210938,19.3392333984375,-34.90142822265625,19.401763916015625,-72.9239501953125,-29.66815185546875,-10.60260009765625,23.029277801513672
-68.33924865722656,-39.435394287109375,730.2772827148438,-47.925537109375,-68.6865234375,19.151103973388672,-32.100860595703125,18.060302734375,-57.572998046875,-27.7646484375,-10.440460205078125,28.414464950561523
-69.03868103027344,-44.139129638671875,741.7459716796875,-48.26112365722656,-68.36392211914062,18.760665893554688,-35.175018310546875,18.680023193359375,-86.26971435546875,-30.464935302734375,-8.98358154296875,15.175287246704102
-75.430419921875,-16.381591796875,751.0558471679688,-47.44438171386719,-65.79232788085938,20.615468978881836,-40.04150390625,13.725250244140625,-75.99824523925781,-29.424560546875,-11.120086669921875,17.745635986328125
-70.3758544921875,-36.076324462890625,747.9449462890625,-52.258544921875,-71.02066040039062,20.338132858276367,-36.32098388671875,16.906890869140625,-101.45457458496094,-29.95587158203125,-7.65679931640625,11.491079330444336
-74.35369873046875,-17.735260009765625,750.0118408203125,-50.47685241699219,-70.53707885742188,20.148500442504883,-36.49725341796875,8.97845458984375,-37.98284912109375,-31.69671630859375,-11.02435302734375,9.189846992492676
-74.31883239746094,-35.938385009765625,751.6080932617188,-52.80125427246094,-66.44815063476562,18.972339630126953,-39.57830810546875,31.2769775390625,-63.87709045410156,-30.0697021484375,-9.987396240234375,15.887600898742676
-76.35784912109375,-31.845245361328125,745.3458251953125,-52.525054931640625,-74.29953002929688,21.632156372070312,-31.206939697265625,6.3802490234375,-24.45867919921875,-31.044891357421875,-8.726104736328125,20.520313262939453
-74.86424255371094,-25.0340576171875,752.2968139648438,-50.46134948730469,-74.91722106933594,20.77157211303711,-37.857452392578125,10.539642333984375,-107.19027709960938,-28.714599609375,-9.325286865234375,34.70431900024414
-74.46963500976562,-22.50006103515625,749.8373413085938,-50.289703369140625,-74.01936340332031,19.88020133972168,-36.327484130859375,14.357513427734375,-88.80824279785156,-30.243255615234375,-8.95379638671875,27.052995681762695
-77.97413635253906,-48.609130859375,753.7021484375,-49.27494812011719,-73.51341247558594,20.49030113220215,-39.5933837890625,28.91046142578125,-51.580596923828125,-31.68115234375,-9.439239501953125,24.77377700805664
-77.5037841796875,-33.566558837890625,754.47900390625,-53.91876220703125,-70.26528930664062,19.4993953704834,-37.542816162109375,19.379974365234375,41.373748779296875,-31.00311279296875,-9.228271484375,24.576631546020508
-79.62387084960938,-21.52252197265625,757.6263427734375,-49.703369140625,-71.10296630859375,20.572912216186523,-40.891021728515625,13.155914306640625,-73.39675903320312,-31.038970947265625,-13.747344970703125,40.87654495239258
-79.80117797851562,-49.205474853515625,763.712158203125,-50.156768798828125,-75.40492248535156,19.69736099243164,-42.27459716796875,20.684234619140625,-63.14520263671875,-31.977569580078125,-7.4814453125,34.47572708129883
-74.33293151855469,-55.568511962890625,747.8297729492188,-51.19526672363281,-73.38052368164062,21.27833366394043,-37.846282958984375,21.473663330078125,-57.98634338378906,-28.793975830078125,-8.791595458984375,18.162931442260742
-71.91683959960938,-33.225189208984375,745.133544921875,-48.85853576660156,-74.09037780761719,21.10953712463379,-36.24267578125,6.6796875,-90.5352783203125,-26.993316650390625,-7.1571044921875,21.04198455810547
-62.7830810546875,-44.35394287109375,729.3443603515625,-45.199249267578125,-70.01889038085938,22.956642150878906,-37.382720947265625,23.190460205078125,-134.3284912109375,-23.596435546875,-6.128082275390625,14.934110641479492
-73.49310302734375,-38.752655029296875,738.3421020507812,-47.36961364746094,-73.22360229492188,18.751914978027344,-35.021453857421875,17.844635009765625,-51.90716552734375,-28.638702392578125,-8.321868896484375,13.192934036254883
-81.27450561523438,-32.765533447265625,759.4595947265625,-52.33009338378906,-74.62979125976562,18.737472534179688,-40.06536865234375,19.71319580078125,-62.40956115722656,-29.3984375,-8.846099853515625,21.39628028869629
-80.46713256835938,-42.61444091796875,751.61962890625,-49.98942565917969,-72.91935729980469,19.60254669189453,-37.729888916015625,29.556610107421875,-63.56684875488281,-30.640655517578125,-8.842803955078125,26.464223861694336
-74.72052001953125,-26.558807373046875,748.86572265625,-52.03150939941406,-66.91583251953125,20.166786193847656,-40.52069091796875,8.7708740234375,-64.56118774414062,-29.125091552734375,-8.830352783203125,14.023823738098145
-84.59605407714844,-8.264129638671875,770.1384887695312,-56.938690185546875,-74.066162109375,21.448867797851562,-40.3531494140625,1.224884033203125,-29.458709716796875,-30.108734130859375,-11.9422607421875,20.380773544311523
-86.40766906738281,-21.4407958984375,764.0079956054688,-52.58796691894531,-79.72856140136719,20.676368713378906,-37.848724365234375,7.04620361328125,-58.32283020019531,-32.305633544921875,-7.53131103515625,29.014413833618164
-80.44476318359375,-28.693206787109375,755.43115234375,-52.62506103515625,-70.37022399902344,20.944353103637695,-40.66680908203125,21.63909912109375,-24.742828369140625,-29.1358642578125,-10.030609130859375,29.1451416015625
-77.85336303710938,-23.815032958984375,751.4178466796875,-51.07489013671875,-75.55621337890625,17.424346923828125,-36.234649658203125,19.34063720703125,-78.63887023925781,-29.526397705078125,-10.946533203125,12.203383445739746
-75.16685485839844,-30.0491943359375,759.248291015625,-53.62895202636719,-78.40921020507812,18.333972930908203,-38.540283203125,17.04339599609375,-55.4600830078125,-30.18341064453125,-7.447540283203125,15.27510929107666
-78.44573974609375,-16.24212646484375,749.6566162109375,-49.0013427734375,-73.497802734375,18.134220123291016,-34.949462890625,14.46630859375,-84.334716796875,-30.30303955078125,-11.873260498046875,14.873353958129883
-73.24757385253906,-36.745361328125,748.3925170898438,-51.4498291015625,-73.16714477539062,19.337900161743164,-37.791778564453125,15.52130126953125,-70.872802734375,-29.3780517578125,-7.927276611328125,15.258482933044434
-76.67127990722656,-35.0770263671875,758.3123779296875,-52.06719970703125,-78.05496215820312,19.140501022338867,-42.43463134765625,18.37420654296875,-43.314483642578125,-30.47918701171875,-4.75518798828125,11.766980171203613
-73.04212951660156,-35.04901123046875,742.6866455078125,-46.980316162109375,-73.03561401367188,18.523975372314453,-36.870330810546875,27.640106201171875,-47.74723815917969,-29.1986083984375,-9.427093505859375,9.167960166931152
-73.57511901855469,-44.42999267578125,743.19091796875,-48.49916076660156,-67.92164611816406,18.250329971313477,-36.3538818359375,25.65606689453125,-37.547210693359375,-30.606048583984375,-10.704620361328125,22.820077896118164
-80.90032958984375,-20.441986083984375,759.509765625,-53.52783203125,-73.12461853027344,19.277225494384766,-37.31658935546875,5.708709716796875,2.01007080078125,-31.992218017578125,-10.655792236328125,21.009639739990234
-79.1566162109375,-22.60845947265625,752.333251953125,-47.40556335449219,-73.52207946777344,19.261898040771484,-39.49700927734375,26.84246826171875,-53.49882507324219,-31.388458251953125,-10.837249755859375,25.58791160583496
-77.96153259277344,-37.766387939453125,749.4370727539062,-52.843017578125,-71.34635925292969,19.514265060424805,-33.635498046875,31.25701904296875,-7.973419189453125,-32.8671875,-12.18927001953125,21.539770126342773
-81.88563537597656,-31.0267333984375,759.893310546875,-52.232635498046875,-74.57868957519531,21.58378791809082,-39.428619384765625,14.37982177734375,-76.45004272460938,-30.7882080078125,-8.93524169921875,31.389808654785156
-82.56193542480469,-25.29443359375,756.4774780273438,-51.67384338378906,-75.3448486328125,19.207759857177734,-37.75653076171875,23.6553955078125,-20.713134765625,-31.595977783203125,-9.177032470703125,16.36627769470215
-71.0177001953125,-41.400115966796875,738.5243530273438,-47.96519470214844,-65.52301025390625,19.512601852416992,-37.4068603515625,23.195465087890625,-77.62001037597656,-27.588165283203125,-10.122802734375,12.717512130737305
-69.22433471679688,-26.48309326171875,741.0196533203125,-52.13983154296875,-73.04505920410156,20.90676498413086,-34.04022216796875,23.312744140625,-27.3505859375,-27.999359130859375,-9.186279296875,11.000007629394531
-78.09928894042969,-21.7501220703125,758.96142578125,-53.058441162109375,-71.64369201660156,21.064014434814453,-37.8372802734375,2.939300537109375,-35.332855224609375,-31.13519287109375,-11.30462646484375,15.16150951385498
-82.70915222167969,-42.1392822265625,767.6538696289062,-51.60881042480469,-70.07528686523438,16.938549041748047,-40.08172607421875,18.695709228515625,-104.91795349121094,-35.30767822265625,-11.345123291015625,5.198694229125977
-81.68122863769531,-6.89752197265625,759.577880859375,-53.569549560546875,-77.27192687988281,20.107746124267578,-37.641448974609375,3.16082763671875,-102.64921569824219,-30.7435302734375,-8.55816650390625,6.522520065307617
-73.69696044921875,-21.984405517578125,737.1510620117188,-49.882965087890625,-67.63375854492188,21.26397132873535,-35.762451171875,10.628875732421875,-96.90061950683594,-24.952239990234375,-9.53179931640625,9.092325210571289
-79.39898681640625,-26.026458740234375,758.6974487304688,-51.95072937011719,-76.98818969726562,17.645652770996094,-36.754241943359375,12.620574951171875,-83.43888854980469,-30.658203125,-7.47802734375,5.91729736328125
-74.68936157226562,-38.511688232421875,756.0616455078125,-48.71551513671875,-74.29817199707031,20.03250503540039,-39.192657470703125,23.059844970703125,-66.31257629394531,-31.91693115234375,-8.67706298828125,18.932544708251953
-88.53401184082031,-20.8140869140625,775.8450927734375,-51.2618408203125,-84.66465759277344,19.72378921508789,-42.238525390625,15.08984375,-44.6385498046875,-30.79638671875,-6.40814208984375,21.866544723510742
-75.93429565429688,-51.30479431152344,748.5218505859375,-50.51210021972656,-73.1966552734375,21.007320404052734,-33.37103271484375,22.248016357421875,-70.66871643066406,-32.830841064453125,-11.824188232421875,37.60228729248047
-81.82600402832031,-39.537445068359375,754.5617065429688,-52.07539367675781,-67.52981567382812,20.884780883789062,-37.684844970703125,20.637725830078125,-61.328033447265625,-31.917388916015625,-13.667877197265625,37.71308135986328
-74.94735717773438,-35.141510009765625,750.0642700195312,-49.7584228515625,-78.20042419433594,19.355878829956055,-33.58282470703125,14.62078857421875,-105.40589904785156,-30.302001953125,-9.926422119140625,9.075817108154297
-82.48043823242188,-42.3109130859375,770.4432373046875,-50.828216552734375,-78.58941650390625,19.033859252929688,-43.059783935546875,28.422760009765625,-94.02177429199219,-34.0194091796875,-9.649810791015625,17.14921760559082
-74.11773681640625,-14.641021728515625,746.1515502929688,-47.00445556640625,-71.79655456542969,21.833341598510742,-38.55963134765625,7.978179931640625,-47.686614990234375,-30.400421142578125,-10.123382568359375,30.34910011291504
-89.24009704589844,-32.0335693359375,767.5133056640625,-48.05767822265625,-70.60694885253906,21.55606460571289,-45.13432312011719,20.57891845703125,-41.849090576171875,-29.98046875,-14.651702880859375,35.22834777832031
-80.23481750488281,-5.71136474609375,765.0396728515625,-50.91355895996094,-77.65440368652344,20.14508819580078,-40.329986572265625,13.054595947265625,-69.21931457519531,-30.472686767578125,-10.846710205078125,31.332027435302734
-85.38645935058594,-33.044036865234375,759.0968017578125,-53.26837158203125,-74.10934448242188,19.025243759155273,-35.89111328125,22.205474853515625,-26.394500732421875,-32.515716552734375,-10.983489990234375,5.152541160583496
-71.93008422851562,-10.367523193359375,750.77880859375,-48.93109130859375,-70.96858215332031,17.526294708251953,-39.37432861328125,5.464508056640625,-46.92720031738281,-29.930816650390625,-10.08447265625,12.137868881225586
