b_0,ET,b_1,a_0
-1174.1251220703125,341.1131286621094,0.7949820160865784,361.3453674316406
-1189.251953125,5918.0380859375,1.8577320575714111,331.4541320800781
-1175.724365234375,5168.44970703125,1.8796682357788086,375.8292541503906
-1172.71142578125,3592.788330078125,1.814433217048645,419.86041259765625
-1176.0679931640625,1607.48974609375,1.6170744895935059,404.1133117675781
-1171.97119140625,3754.4443359375,1.6530107259750366,397.2732238769531
-1173.49072265625,630.302978515625,1.2520978450775146,411.42742919921875
-1164.581298828125,5311.13232421875,1.0776050090789795,393.7292175292969
-1168.54736328125,629.8397827148438,1.6451821327209473,303.4187927246094
-1172.431884765625,3267.4013671875,1.3176089525222778,351.5285949707031
-1179.98046875,7659.4189453125,1.9275529384613037,465.2242736816406
-1174.8330078125,1572.3988037109375,1.6737885475158691,376.2474060058594
-1157.8560791015625,1258.2667236328125,1.3820524215698242,307.3953552246094
-1170.1611328125,1293.8463134765625,2.018441677093506,337.9971923828125
-1152.72265625,7678.27783203125,1.3099502325057983,407.1408386230469
-1179.050537109375,12193.935546875,1.3462454080581665,576.6371459960938
-1172.747314453125,6746.17578125,1.388700008392334,550.6295166015625
-1160.2725830078125,10442.53515625,1.4980883598327637,526.0640869140625
-1165.206787109375,11073.171875,1.5453230142593384,570.3246459960938
-1171.446533203125,6856.19775390625,1.2662715911865234,543.39794921875
-1179.521484375,7841.32568359375,1.8810625076293945,501.933349609375
-1160.352783203125,5728.56884765625,1.0329283475875854,466.210693359375
-1158.04248046875,5606.630859375,1.1972686052322388,474.7690124511719
-1172.91748046875,2177.140869140625,1.272138237953186,364.58270263671875
-1188.02392578125,3086.58349609375,1.753548502922058,428.67901611328125
-1206.57275390625,7002.5908203125,1.6372169256210327,478.96905517578125
-1188.8948974609375,7573.4697265625,1.775152564048767,528.250244140625
-1184.0269775390625,9538.8349609375,1.436237096786499,502.40582275390625
-1175.60009765625,7878.4765625,1.7355514764785767,497.4815368652344
-1164.353759765625,3615.11865234375,1.5441420078277588,512.09228515625
-1163.55859375,7699.1357421875,1.401696801185608,509.47296142578125
-1172.557861328125,10259.1767578125,1.6040682792663574,561.714111328125
-1167.4747314453125,10441.826171875,1.5024375915527344,508.0021057128906
-1163.0821533203125,6246.296875,1.5390686988830566,503.55999755859375
-1174.771240234375,2099.34423828125,1.4386271238327026,352.07940673828125
-1173.0281982421875,5173.44189453125,1.778028964996338,352.96868896484375
-1163.08740234375,1385.8997802734375,1.2454522848129272,426.2491455078125
-1183.544677734375,7366.3623046875,1.545404314994812,468.4221496582031
-1189.64892578125,6587.59033203125,1.829361915588379,463.8835144042969
-1169.430419921875,7312.388671875,1.4566189050674438,410.0831604003906
-1177.338134765625,1383.44970703125,1.7486965656280518,505.57696533203125
-1184.157470703125,6461.90625,1.5389161109924316,452.2196960449219
-1175.7381591796875,7343.095703125,1.6294867992401123,467.55499267578125
-1172.895751953125,3106.014404296875,1.847882866859436,367.3646545410156
-1170.8153076171875,3063.027099609375,1.7958478927612305,404.2746276855469
-1176.782958984375,7706.134765625,1.5939631462097168,424.7865905761719
-1166.4625244140625,6434.07568359375,1.7599166631698608,533.8643188476562
-1173.1165771484375,8805.328125,1.284238338470459,470.0876159667969
-1176.37744140625,3033.3125,1.5594801902770996,434.5594787597656
-1162.16357421875,1908.730712890625,1.460974097251892,397.6434326171875
-1178.122314453125,2072.35693359375,1.5656192302703857,324.60174560546875
-1180.168212890625,4886.6767578125,1.7402130365371704,378.746826171875
-1179.879638671875,2270.07470703125,1.9735230207443237,366.0845642089844
-1185.511474609375,5370.83203125,1.689257025718689,473.0977478027344
-1166.440673828125,1665.049072265625,1.619140625,383.79144287109375
-1177.4327392578125,7631.60595703125,1.8634926080703735,400.0672302246094
-1184.251953125,2385.8095703125,1.7995752096176147,304.5693359375
-1185.0880126953125,4049.6572265625,1.8480679988861084,375.95733642578125
-1155.097412109375,9295.435546875,1.2878888845443726,558.4259033203125
-1168.605224609375,3161.47802734375,1.4521468877792358,443.2136535644531
-1172.276611328125,116.34983825683594,1.6480261087417603,414.2273254394531
-1162.3037109375,2946.354736328125,1.4131858348846436,336.3250427246094
-1165.2470703125,272.1796875,1.8009145259857178,357.28448486328125
-1176.3134765625,6613.61962890625,1.5331119298934937,480.2235107421875
-1163.8382568359375,7986.33154296875,1.6939468383789062,532.2872924804688
-1172.265380859375,2044.2034912109375,1.8179118633270264,413.67132568359375
-1171.648681640625,527.4779052734375,1.4599599838256836,361.35528564453125
-1145.812744140625,1945.83251953125,0.8737192153930664,392.53839111328125
-1163.12109375,7268.00537109375,1.5810681581497192,518.5673217773438
-1192.1942138671875,8193.5234375,1.50484299659729,483.9996643066406
-1164.103271484375,11317.408203125,1.6568758487701416,521.4633178710938
-1180.8134765625,9958.3896484375,1.7066624164581299,450.0841979980469
-1161.11962890625,8700.6513671875,1.4245110750198364,523.4096069335938
-1176.9697265625,10376.7197265625,1.5032297372817993,510.9923095703125
-1165.65771484375,8544.3046875,1.4619673490524292,379.5865478515625
-1175.0670166015625,5835.40478515625,1.783751368522644,488.0072326660156
-1184.661865234375,12821.1435546875,1.8846828937530518,475.7526550292969
-1167.558349609375,967.13720703125,1.5156383514404297,477.73223876953125
-1154.80126953125,2556.60791015625,1.4313124418258667,460.1005554199219
-1180.720703125,3507.9033203125,1.7371402978897095,242.17625427246094
-1178.92333984375,1501.00927734375,1.9314944744110107,214.12879943847656
-1171.61474609375,2529.865966796875,1.9148900508880615,247.6392364501953
-1170.5703125,1336.212646484375,1.2799961566925049,256.4147644042969
-1173.26171875,118.67305755615234,1.6932398080825806,263.4625549316406
-1177.624755859375,630.1982421875,1.6507513523101807,239.3700408935547
-1182.548583984375,991.8193969726562,1.1860132217407227,256.171875
-1173.7822265625,1587.2091064453125,1.803694725036621,316.484130859375
-1170.388916015625,8476.83203125,1.457261323928833,363.45184326171875
-1156.087158203125,786.6270751953125,1.5665526390075684,353.9530944824219
-1160.465087890625,2642.798828125,1.3692939281463623,334.5184326171875
-1187.43896484375,2614.32470703125,1.802789568901062,370.3418884277344
-1182.075439453125,339.0378112792969,1.7039990425109863,348.4860534667969
-1170.056396484375,2467.1142578125,1.4464164972305298,279.7290954589844
-1169.451171875,1592.4866943359375,1.5267560482025146,292.4592590332031
-1181.1875,1824.6256103515625,1.8209360837936401,349.0052795410156
-1173.187255859375,607.4061279296875,1.6385501623153687,352.6700744628906
-1163.2188720703125,1995.885498046875,1.5391783714294434,362.4375915527344
-1197.29736328125,585.0763549804688,1.750542163848877,264.6161804199219
-1171.924560546875,69.1874771118164,1.757848858833313,293.0976867675781
-1155.847900390625,3779.22509765625,1.6321134567260742,315.68145751953125
-1175.622314453125,4781.6064453125,1.709975004196167,416.8949890136719
-1190.768798828125,567.3202514648438,1.570420742034912,334.590576171875
-1173.954833984375,9635.76171875,1.5987628698349,405.17584228515625
-1168.552734375,5149.76806640625,1.2580187320709229,425.112548828125
-1138.078857421875,7382.173828125,1.3476704359054565,475.15582275390625
-1168.08203125,6699.2880859375,1.7422819137573242,543.6987915039062
-1176.6279296875,1334.4049072265625,1.7023653984069824,416.53466796875
-1174.1427001953125,3670.9931640625,1.8855267763137817,422.53057861328125
-1182.389892578125,482.1236572265625,1.2361996173858643,428.31280517578125
-1158.79345703125,7866.765625,1.6765553951263428,464.8421325683594
-1184.9912109375,8139.71533203125,1.7990552186965942,395.1063232421875
-1174.39208984375,5724.361328125,1.6422812938690186,481.0943603515625
-1181.263916015625,9227.6474609375,2.0528182983398438,453.31982421875
-1176.542724609375,4037.607421875,1.748221516609192,392.71417236328125
-1175.263671875,1555.739501953125,1.526274561882019,295.2782897949219
-1190.6810302734375,3659.947265625,1.932763934135437,369.00433349609375
-1167.81103515625,1097.697265625,1.438801884651184,399.14495849609375
-1171.480224609375,1247.1004638671875,1.5362478494644165,400.3116760253906
-1179.031494140625,7019.9130859375,1.5349798202514648,424.69891357421875
-1177.37353515625,611.31689453125,1.8533014059066772,416.3922119140625
-1173.26953125,5372.9501953125,1.1097646951675415,468.2212829589844
-1184.387939453125,6811.9296875,1.9446529150009155,465.1444091796875
-1169.819091796875,7676.10888671875,1.3465220928192139,471.6324768066406
-1174.875,5109.96923828125,1.767198085784912,456.21258544921875
-1165.911376953125,8221.798828125,1.5217761993408203,503.99627685546875
-1166.6641845703125,9578.6328125,1.47829270362854,456.3363952636719
-1193.762451171875,8089.443359375,2.0354928970336914,402.9374694824219
-1177.7791748046875,9329.8056640625,1.9353306293487549,555.8206176757812
-1179.828369140625,9914.2119140625,1.901253342628479,539.5758666992188
-1159.016845703125,11696.578125,1.4174838066101074,555.6836547851562
-1177.83984375,13238.580078125,1.7872356176376343,611.7598266601562
-1178.013916015625,10801.6552734375,1.2348014116287231,574.8450317382812
-1165.758056640625,10255.560546875,1.301608681678772,600.0994873046875
-1174.98583984375,13255.662109375,1.8370627164840698,612.7766723632812
-1169.266357421875,12094.97265625,1.185673713684082,504.9721374511719
-1181.689453125,9966.017578125,2.067324161529541,520.8377075195312
-1183.896728515625,6661.2177734375,1.2623286247253418,475.55230712890625
-1170.6630859375,10653.1240234375,1.504756212234497,478.4216003417969
-1185.181884765625,1768.0926513671875,1.876204252243042,480.80072021484375
-1165.4061279296875,9429.564453125,1.879364252090454,513.0573120117188
-1186.236328125,5087.55419921875,1.851560354232788,464.404296875
-1177.128662109375,10804.34765625,1.7745929956436157,486.9053955078125
-1159.361572265625,8552.25390625,1.7063652276992798,542.5462036132812
-1186.392333984375,11101.36328125,1.4071204662322998,591.3967895507812
-1200.3486328125,13384.9248046875,1.9542455673217773,623.8385009765625
-1175.054931640625,9480.068359375,1.0967698097229004,530.190673828125
-1171.470703125,9487.0693359375,1.612624168395996,513.8031005859375
-1154.65625,9187.2666015625,1.5807174444198608,544.021484375
-1189.73876953125,10154.845703125,1.9960217475891113,535.5978393554688
-1181.099609375,7279.13232421875,1.2614245414733887,544.0107421875
-1174.3204345703125,7559.07666015625,1.5228557586669922,533.3776245117188
-1165.728515625,6114.25927734375,1.6015985012054443,495.08306884765625
-1188.06103515625,8977.4169921875,1.7882425785064697,520.3230590820312
-1178.4912109375,8836.994140625,2.1718122959136963,500.71844482421875
-1192.0133056640625,5019.50830078125,1.7109192609786987,480.59295654296875
-1180.68798828125,10582.123046875,1.8691195249557495,578.8969116210938
-1157.1005859375,12597.1318359375,1.9035483598709106,595.2752685546875
-1182.843017578125,13496.244140625,1.479854702949524,581.8365478515625
-1163.8175048828125,9056.2451171875,1.4361212253570557,497.5635681152344
-1179.888671875,8606.95703125,1.573768138885498,541.098388671875
-1169.030517578125,9170.2900390625,1.5408366918563843,557.0338745117188
-1189.5648193359375,3599.19970703125,2.023963689804077,437.97698974609375
-1163.01513671875,4083.740966796875,1.851100206375122,455.8534851074219
-1172.9459228515625,7022.9677734375,1.2216315269470215,511.986328125
-1166.126953125,12376.95703125,1.0425825119018555,567.207763671875
-1176.509765625,12869.2041015625,1.7176049947738647,631.4308471679688
-1182.068359375,10790.2734375,1.7072298526763916,586.7882690429688
-1186.94189453125,14514.6552734375,1.4735686779022217,626.0960693359375
-1168.4547119140625,11920.1181640625,1.4647151231765747,528.50341796875
-1175.7939453125,7921.85595703125,1.4527175426483154,553.4898681640625
-1165.81787109375,8878.7119140625,1.4810500144958496,572.7479858398438
-1184.2900390625,14239.7578125,1.1821098327636719,569.9127197265625
-1150.86474609375,8505.1484375,0.8488790988922119,472.3776550292969
-1179.417724609375,507.1065979003906,1.9914047718048096,421.0278625488281
-1171.590087890625,6944.30859375,1.8708786964416504,407.3697204589844
-1183.443359375,5277.05712890625,1.8554104566574097,380.2733154296875
-1172.2642822265625,3463.71337890625,1.4165626764297485,320.8568420410156
-1191.060791015625,669.3809204101562,1.7691434621810913,419.8865966796875
-1172.548583984375,6217.04150390625,1.7779581546783447,410.939208984375
-1181.1859130859375,3985.805908203125,1.6031405925750732,454.6999206542969
-1173.331298828125,6280.62353515625,1.2651643753051758,473.8397216796875
-1164.294677734375,5294.2333984375,1.4330863952636719,465.4244079589844
-1190.927978515625,109.10549926757812,1.9612921476364136,381.0561218261719
-1171.64990234375,3012.350830078125,1.437567949295044,342.08673095703125
-1192.463623046875,9770.71875,1.8572285175323486,458.4432373046875
-1162.6680908203125,2240.79541015625,1.6183159351348877,487.03350830078125
-1164.19970703125,4927.95654296875,1.4747123718261719,456.3380432128906
-1159.8941650390625,5023.841796875,1.5871188640594482,456.1155700683594
-1191.798583984375,3958.9501953125,1.964646577835083,358.9083557128906
-1171.54638671875,1078.567138671875,1.3653630018234253,345.40753173828125
-1179.406982421875,1429.7003173828125,1.887454867362976,321.9864501953125
-1181.68212890625,2477.173828125,2.0477662086486816,337.13580322265625
-1170.7574462890625,4395.591796875,1.6712548732757568,424.00140380859375
-1183.7716064453125,7377.18359375,1.5456008911132812,415.3694152832031
-1189.5736083984375,7531.1513671875,1.5356998443603516,495.09771728515625
-1151.185302734375,7690.02490234375,1.3092594146728516,501.0785827636719
-1168.6435546875,8102.279296875,1.5390195846557617,526.1608276367188
-1158.6907958984375,11302.2099609375,1.1136038303375244,559.6448974609375
-1172.298828125,12634.6630859375,1.555168628692627,629.4342041015625
-1182.05126953125,14853.7548828125,1.818821907043457,677.1627807617188
-1176.5076904296875,14983.1513671875,1.6710805892944336,676.4295043945312
-1168.849609375,12271.603515625,1.7222747802734375,630.5427856445312
-1192.246826171875,15740.927734375,1.6212893724441528,674.8446655273438
-1179.1180419921875,12390.7314453125,1.1961387395858765,616.0098266601562
-1169.35302734375,15249.4150390625,1.0462902784347534,667.4373779296875
-1186.9891357421875,15633.7734375,1.755215048789978,699.4049072265625
-1177.971435546875,16301.5888671875,1.7428460121154785,643.4462890625
-1166.46875,8405.9208984375,1.379155158996582,519.4762573242188
-1165.904052734375,11105.1015625,1.6744167804718018,581.163330078125
-1171.829345703125,10074.767578125,1.0698882341384888,555.4910888671875
-1173.6090087890625,10960.14453125,1.6165213584899902,509.5545654296875
-1178.771484375,6249.48095703125,1.792291283607483,467.0798645019531
-1177.6539306640625,7318.48193359375,1.5278352499008179,531.743896484375
